,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,anlge_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
1683,T_prime,PtSSe,Pt,S,Se,781634,7.31467708,3.656833138,19,90,90,119.995397,P m,-29.63920193,-1.088661447,-0.03591,0.68191,0.3781,0.37753,77.244481,20.353123,77.254209,20.353123,-0.063120307,1.198412979,0.387407052,0.386784468,1.55,5.601013,5.599438,1.324907,0.343811,0.343296,1.40E-05,2.47868,2.477125,-0.007845,-1.48746,-1.486595,-0.004835,-0.991215,-0.99053,0.01268,PtSS,PtSeSe,-1.091363958,-1.192023322,-1.192023322,-1.091363958,0.053032192
1684,T_prime,PtSTe,Pt,S,Te,781652,7.611888014,3.80468336,19,90,90,119.9892448,P 1,-28.39831831,-0.827813067,-0.08265,1.45198,0.73549,0.73511,64.992977,17.244058,64.947909,17.244058,-0.173092924,3.043737496,0.894353742,0.894381807,0.96,7.000275,6.996396,1.353964,0.641211,0.639331,0.000234,2.27017,2.26652,-0.038195,-2.21867,-2.216275,-0.01571,-0.0515,-0.050245,0.053905,PtSS,PtTeTe,-1.091363958,-1.096692416,-1.096692416,-1.091363958,0.26621512
1685,T_prime,PtSeTe,Pt,Se,Te,783452,7.777674898,3.88762471,19,90,90,119.9899656,P 1,-27.61653397,-1.068552097,-0.03857,0.66709,0.3933,0.39577,64.995352,17.734429,64.960088,17.734429,-0.081610763,1.412558372,0.475403168,0.478592795,1.04,7.55176,7.545332,1.376742,0.387625,0.38592,0.000206,1.95311,1.949985,-0.05324,-1.80147,-1.797875,0.00418,-0.15164,-0.15211,0.04906,PtSeSe,PtTeTe,-1.192023322,-1.096692416,-1.192023322,-1.096692416,0.075805772
1686,T_prime,NiCBr,Ni,C,Br,280635,5.890559588,3.073048053,19,90,90,121.3879267,P 1,-27.23570414,2.586333987,-3.73597,-2.58362,-0.55651,-0.58957,64.759885,49.579797,90.420639,49.579797,-24.6109904,-6.326069379,-0.486716414,-0.421120117,0,21.982028,29.888135,1.504492,22.457268,37.762603,0.021392,-2.86857,-3.35017,-0.000455,3.83608,3.762225,0.03587,-0.967505,-0.41205,-0.03542,NiCC,NiBrBr,2.625758284,-1.445734125,-1.445734125,2.625758284,1.996321907
1687,T_prime,NiCCl,Ni,C,Cl,280617,6.236994638,3.118462229,19,90,90,119.9265427,P 1,-28.00096162,2.491264947,-1.4231,2.72574,-1.43526,-1.4364,90.340003,42.739113,89.384968,42.739113,-2.989649983,5.843477411,-1.078501303,-1.08715988,0,6.03257,5.904914,1.270847,40.358478,45.348674,0.007151,-0.48427,-0.535305,0.18866,3.224135,3.25307,-0.005695,-2.73987,-2.71776,-0.182965,NiCC,NiClCl,2.625758284,-1.97389014,-1.97389014,2.625758284,2.165330875
1688,T_prime,NiCF,Ni,C,F,280609,5.830801002,2.916330868,19,90,90,119.9140845,P 1,-31.6542713,0.673899307,0.05909,-3.87866,-4.75855,-4.75817,79.331897,32.228408,78.970422,32.228408,0.125447183,-8.298016427,-4.26545087,-4.278974878,0,5.012662,4.924677,1.201997,4.887999,4.759612,0.01884,-0.30924,-0.30887,0.376965,2.502045,2.477315,-0.039245,-2.192805,-2.168445,-0.337725,NiCC,NiFF,2.625758284,-4.96384505,-4.96384505,2.625758284,1.84294269
1689,T_prime,NiCI,Ni,C,I,280653,5.662839729,3.154941844,19,90,90,124.4141302,P 1,-27.10654234,2.475590137,-1.25989,-29.50206,0.27702,-0.1444,45.826765,59.1565,99.116008,59.1565,9.451725784,-73.829888,0.263870627,-0.091235049,0,52.429536,326.092821,1.956576,65.267514,300.577746,0.074575,-2.17458,-5.582775,0.02181,1.75043,5.24803,-0.019185,0.424145,0.33474,-0.002625,NiCC,NiII,2.625758284,-0.74888102,-0.74888102,2.625758284,1.537151505
1690,T_prime,NiGeBr,Ni,Ge,Br,283235,7.301100465,3.652450494,19,90,90,119.7716242,P 1,-23.3383878,-0.195704825,-0.08132,4.06239,-2.18747,-2.1812,36.028731,26.581247,35.705446,26.581247,-0.860758272,44.52325075,-3.493804135,-3.50187158,0,4.999269,4.925278,1.330589,4.319754,4.126976,0.007287,-0.984885,-0.98694,0.081455,3.25465,3.25016,0.11718,-2.269765,-2.26322,-0.198635,NiGeGe,NiBrBr,0.291023355,-1.445734125,-1.445734125,0.291023355,0.38165056
1691,T_prime,NiGeCl,Ni,Ge,Cl,283217,6.256643735,3.375304095,19,90,90,118.2411987,P 1,-24.35108925,-0.41449585,-11.71502,-7.99615,-3.35331,-3.57181,56.178782,10.138913,26.613528,10.138913,-25.44538083,-48.53618734,-5.056433279,-9.71856536,0.34,15.397082,8.242435,1.39242,9.056906,5.675697,0.016007,-0.280175,-1.3588,0.100775,2.24535,2.317285,0.09644,-1.965175,-0.95849,-0.197215,NiGeGe,NiClCl,0.291023355,-1.97389014,-1.97389014,0.291023355,0.426937542
1692,T_prime,NiGeF,Ni,Ge,F,283209,5.827784397,3.048432223,19,90,90,121.5137606,P 1,-27.16577391,-1.81254898,-0.56867,-3.25964,-5.55199,-5.49993,60.641844,20.593416,51.470962,20.593416,-1.419955859,-10.55666794,-6.834458337,-7.631967628,0,27.403654,15.325516,1.325976,8.968265,9.879257,0.022287,-0.01073,0.23217,0.27487,2.12765,2.107835,0.09153,-2.116915,-2.34001,-0.3664,NiGeGe,NiFF,0.291023355,-4.96384505,-4.96384505,0.291023355,0.523861868
