,Unnamed: 0,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,angle_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
0,0,H,ScOBr,Sc,O,Br,210835-2,3.37,3.37,19.11,90.0,90.0,120.0,P 3 m 1,-19.95,-7.69,-0.0,-2.98,0.04,0.04,105.66,42.46,105.66,42.46,-0.0,-4.71,0.03,0.03,0.98,2.34,2.34,1.29,2.43,2.43,0.04,3.83,3.83,0.78,-2.72,-2.72,-0.56,-1.11,-1.11,-0.22,ScOO,ScBrBr,-8.02,-4.94,-8.02,-4.94,-1.21
1,1,H,ScOCl,Sc,O,Cl,210817-2,3.29,3.29,19.11,90.0,90.0,120.0,P 3 m 1,-20.74,-8.2,-0.0,-3.11,-0.54,-0.54,104.01,44.75,104.01,44.75,-0.0,-5.25,-0.36,-0.36,1.99,2.08,2.08,1.26,2.51,2.51,0.04,3.86,3.86,0.8,-2.74,-2.74,-0.53,-1.12,-1.12,-0.27,ScOO,ScClCl,-8.02,-5.78,-8.02,-5.78,-1.29
2,2,H,ScOF,Sc,O,F,210809-2,3.13,3.13,19.11,90.0,90.0,120.0,P 3 m 1,-22.64,-10.09,0.0,-1.41,-1.78,-1.78,108.42,48.33,108.42,48.33,0.0,-2.34,-1.13,-1.13,2.23,1.8,1.8,1.18,1.7,1.7,0.05,3.87,3.87,0.94,-2.79,-2.79,-0.46,-1.08,-1.08,-0.48,ScOO,ScFF,-8.02,-9.71,-9.71,-8.02,-1.22
3,3,H,ScOI,Sc,O,I,210853-2,3.5,3.5,19.11,90.0,90.0,120.0,P 3 m 1,-18.83,-6.74,,,,,106.33,38.57,106.33,38.57,,,,,0.0,3.09,3.09,1.33,2.36,2.36,0.04,3.68,3.68,0.74,-2.67,-2.67,-0.58,-1.01,-1.01,-0.16,ScOO,ScII,-8.02,-3.73,-8.02,-3.73,-0.87
4,4,H,ScSBr,Sc,S,Br,211635-2,3.68,3.68,19.11,90.0,90.0,120.0,P 3 m 1,-16.9,-5.03,-0.0,-1.57,-1.13,-1.13,58.61,22.41,58.61,22.41,-0.0,-4.32,-1.4,-1.4,1.57,2.73,2.73,1.35,1.88,1.88,0.02,3.54,3.54,0.52,-2.48,-2.48,-0.26,-1.06,-1.06,-0.26,ScSS,ScBrBr,-3.59,-4.94,-4.94,-3.59,-0.76
5,5,H,ScSCl,Sc,S,Cl,211617-2,3.6,3.6,19.11,90.0,90.0,120.0,P 3 m 1,-17.53,-5.37,-0.0,-1.89,-1.61,-1.61,59.46,23.77,59.46,23.77,-0.0,-5.29,-1.93,-1.93,1.62,2.61,2.61,1.32,1.94,1.94,0.02,3.54,3.54,0.57,-2.47,-2.46,-0.25,-1.07,-1.07,-0.33,ScSS,ScClCl,-3.59,-5.78,-5.78,-3.59,-0.68
6,6,H,ScSF,Sc,S,F,211609-2,3.41,3.41,19.11,90.0,90.0,120.0,P 3 m 1,-19.19,-7.01,0.0,-1.65,-2.76,-2.76,71.74,25.8,71.74,25.8,0.0,-3.59,-2.83,-2.83,1.13,2.59,2.59,1.25,1.81,1.81,0.05,3.43,3.43,0.76,-2.46,-2.46,-0.19,-0.97,-0.97,-0.57,ScSS,ScFF,-3.59,-9.71,-9.71,-3.59,-0.36
7,7,H,ScSI,Sc,S,I,211653-2,3.82,3.82,19.11,90.0,90.0,120.0,P 3 m 1,-16.13,-4.43,-0.0,-1.25,-0.46,-0.46,59.12,20.95,59.12,20.95,-0.0,-3.26,-0.58,-0.58,1.16,3.07,3.07,1.39,1.7,1.7,0.02,3.51,3.51,0.47,-2.51,-2.51,-0.28,-1.0,-1.0,-0.19,ScSS,ScII,-3.59,-3.73,-3.73,-3.59,-0.77
8,8,H,ScSeBr,Sc,Se,Br,213435-2,3.76,3.76,19.11,90.0,90.0,120.0,P 3 m 1,-16.0,-4.75,-0.0,-1.5,-1.5,-1.5,52.48,19.83,52.48,19.83,-0.0,-4.59,-2.07,-2.07,1.26,2.99,2.99,1.37,1.87,1.87,0.02,3.42,3.42,0.49,-2.36,-2.36,-0.21,-1.06,-1.06,-0.28,ScSeSe,ScBrBr,-2.94,-4.94,-4.94,-2.94,-0.81
9,9,H,ScSeCl,Sc,Se,Cl,213417-2,3.68,3.68,19.11,90.0,90.0,120.0,P 3 m 1,-16.6,-5.07,-0.0,-1.84,-1.97,-1.97,53.86,21.44,53.86,21.44,-0.0,-5.67,-2.61,-2.61,1.04,2.93,2.93,1.34,1.95,1.95,0.02,3.42,3.42,0.54,-2.36,-2.35,-0.19,-1.06,-1.06,-0.35,ScSeSe,ScClCl,-2.94,-5.78,-5.78,-2.94,-0.7
10,10,H,ScSeF,Sc,Se,F,213409-2,3.49,3.49,19.11,90.0,90.0,120.0,P 3 m 1,-18.21,-6.66,0.0,-1.89,-3.12,-3.12,66.46,23.22,66.46,23.22,0.0,-4.37,-3.48,-3.48,0.41,3.13,3.13,1.27,2.02,2.02,0.05,3.32,3.32,0.72,-2.37,-2.37,-0.14,-0.95,-0.95,-0.58,ScSeSe,ScFF,-2.94,-9.71,-9.71,-2.94,-0.34
11,11,H,ScSeI,Sc,Se,I,213453-2,3.89,3.89,19.11,90.0,90.0,120.0,P 3 m 1,-15.27,-4.2,-0.0,-1.13,-0.83,-0.83,52.21,18.42,52.21,18.42,-0.0,-3.35,-1.18,-1.18,1.28,3.25,3.25,1.41,1.69,1.69,0.01,3.4,3.4,0.42,-2.39,-2.38,-0.22,-1.01,-1.01,-0.2,ScSeSe,ScII,-2.94,-3.73,-3.73,-2.94,-0.86
12,12,H,ScTeBr,Sc,Te,Br,215235-2,3.9,3.9,19.11,90.0,90.0,120.0,P 3 m 1,-14.85,-3.96,-0.0,-1.41,-1.95,-1.95,44.57,16.34,44.57,16.34,-0.0,-4.99,-3.21,-3.21,0.26,3.86,3.86,1.41,1.94,1.94,0.02,3.33,3.33,0.47,-2.27,-2.26,-0.15,-1.06,-1.06,-0.32,ScTeTe,ScBrBr,-2.22,-4.94,-4.94,-2.22,-0.38
13,13,H,ScTeCl,Sc,Te,Cl,215217-2,3.82,3.82,19.11,90.0,90.0,120.0,P 3 m 1,-15.43,-4.25,,,,,46.15,17.64,46.15,17.64,,,,,0.03,4.09,4.09,1.38,2.09,2.08,0.03,3.36,3.36,0.52,-2.31,-2.31,-0.13,-1.05,-1.05,-0.39,ScTeTe,ScClCl,-2.22,-5.78,-5.78,-2.22,-0.25
14,14,H,ScTeF,Sc,Te,F,215209-2,3.63,3.63,19.11,90.0,90.0,120.0,P 3 m 1,-16.94,-5.76,,,,,57.98,19.03,57.98,19.03,,,,,0.0,5.48,5.48,1.31,2.67,2.67,0.05,3.3,3.3,0.65,-2.43,-2.42,-0.07,-0.87,-0.87,-0.59,ScTeTe,ScFF,-2.22,-9.71,-9.71,-2.22,0.2
15,15,H,ScTeI,Sc,Te,I,215253-2,4.03,4.03,19.11,90.0,90.0,120.0,P 3 m 1,-14.18,-3.47,-0.0,-1.06,-1.33,-1.33,43.5,15.09,43.5,15.09,-0.0,-3.74,-2.27,-2.27,0.57,3.81,3.81,1.45,1.7,1.7,0.01,3.27,3.27,0.4,-2.24,-2.24,-0.17,-1.03,-1.03,-0.23,ScTeTe,ScII,-2.22,-3.73,-3.73,-2.22,-0.49
16,16,H,YOBr,Y,O,Br,390835-2,3.6,3.6,19.11,90.0,90.0,120.0,P 3 m 1,-20.61,-8.17,-0.0,-1.0,-0.49,-0.49,88.03,39.4,88.03,39.4,-0.0,-2.06,-0.39,-0.39,2.11,2.08,2.08,1.29,2.05,2.05,0.05,3.77,3.77,0.91,-2.64,-2.64,-0.63,-1.13,-1.13,-0.28,YOO,YBrBr,-8.09,-5.36,-8.09,-5.36,-1.45
17,17,H,YOCl,Y,O,Cl,390817-2,3.54,3.54,19.11,90.0,90.0,120.0,P 3 m 1,-21.31,-8.58,-0.0,-1.12,-0.6,-0.6,86.88,41.0,86.88,41.0,-0.0,-2.43,-0.47,-0.47,2.65,1.91,1.91,1.25,2.07,2.07,0.05,3.8,3.8,0.95,-2.66,-2.66,-0.62,-1.14,-1.14,-0.33,YOO,YClCl,-8.09,-6.13,-8.09,-6.13,-1.47
18,18,H,YOF,Y,O,F,390809-2,3.4,3.4,19.11,90.0,90.0,120.0,P 3 m 1,-23.06,-10.32,0.0,-0.59,-0.68,-0.68,92.03,44.92,92.03,44.92,0.0,-1.26,-0.49,-0.49,2.71,1.71,1.71,1.18,1.41,1.41,0.07,3.83,3.83,1.1,-2.73,-2.73,-0.55,-1.1,-1.1,-0.56,YOO,YFF,-8.09,-9.81,-9.81,-8.09,-1.37
19,19,H,YOI,Y,O,I,390853-2,3.7,3.7,19.11,90.0,90.0,120.0,P 3 m 1,-19.67,-7.4,0.0,-1.37,-0.29,-0.29,90.67,36.12,90.67,36.12,0.0,-2.51,-0.23,-0.23,0.84,2.52,2.52,1.33,2.04,2.04,0.05,3.72,3.72,0.88,-2.6,-2.6,-0.65,-1.12,-1.12,-0.23,YOO,YII,-8.09,-4.24,-8.09,-4.24,-1.24
20,20,H,YSBr,Y,S,Br,391635-2,3.93,3.93,19.11,90.0,90.0,120.0,P 3 m 1,-17.6,-5.54,-0.0,-0.74,-0.34,-0.34,48.47,20.75,48.47,20.75,-0.0,-2.65,-0.49,-0.49,2.0,2.41,2.41,1.34,1.67,1.66,0.03,3.52,3.52,0.65,-2.43,-2.43,-0.34,-1.09,-1.09,-0.31,YSS,YBrBr,-3.97,-5.36,-5.36,-3.97,-0.88
21,21,H,YSCl,Y,S,Cl,391617-2,3.86,3.86,19.11,90.0,90.0,120.0,P 3 m 1,-18.19,-5.84,-0.0,-1.06,-0.37,-0.37,49.5,21.95,49.5,21.95,-0.0,-3.84,-0.52,-0.52,2.01,2.32,2.32,1.31,1.72,1.72,0.03,3.51,3.51,0.7,-2.42,-2.42,-0.32,-1.09,-1.09,-0.38,YSS,YClCl,-3.97,-6.13,-6.13,-3.97,-0.79
22,22,H,YSF,Y,S,F,391609-2,3.68,3.68,19.11,90.0,90.0,120.0,P 3 m 1,-19.77,-7.42,0.0,-0.8,-0.39,-0.39,60.43,24.31,60.43,24.31,0.0,-2.2,-0.46,-0.46,1.95,2.3,2.3,1.24,1.46,1.46,0.05,3.43,3.43,0.86,-2.43,-2.43,-0.25,-1.0,-1.0,-0.61,YSS,YFF,-3.97,-9.81,-9.81,-3.97,-0.53
23,23,H,YSI,Y,S,I,391653-2,4.04,4.04,19.11,90.0,90.0,120.0,P 3 m 1,-16.91,-5.02,-0.0,-0.47,-0.28,-0.28,49.01,19.73,49.01,19.73,-0.0,-1.61,-0.4,-0.4,1.91,2.65,2.65,1.38,1.55,1.55,0.02,3.51,3.51,0.6,-2.44,-2.44,-0.36,-1.07,-1.07,-0.24,YSS,YII,-3.97,-4.24,-4.24,-3.97,-0.92
24,24,H,YSeBr,Y,Se,Br,393435-2,4.0,4.0,19.11,90.0,90.0,120.0,P 3 m 1,-16.7,-5.27,-0.0,-0.75,-0.31,-0.31,43.73,18.3,43.73,18.3,-0.0,-2.96,-0.51,-0.51,1.81,2.62,2.62,1.36,1.64,1.64,0.02,3.41,3.41,0.6,-2.33,-2.32,-0.27,-1.08,-1.08,-0.33,YSeSe,YBrBr,-3.77,-5.36,-5.36,-3.77,-0.7
25,25,H,YSeCl,Y,Se,Cl,393417-2,3.94,3.94,19.11,90.0,90.0,120.0,P 3 m 1,-17.27,-5.55,-0.0,-1.09,-0.35,-0.35,45.15,19.62,45.15,19.62,-0.0,-4.27,-0.54,-0.54,1.79,2.55,2.55,1.33,1.71,1.71,0.03,3.4,3.4,0.65,-2.32,-2.32,-0.25,-1.07,-1.07,-0.4,YSeSe,YClCl,-3.77,-6.13,-6.13,-3.77,-0.61
26,26,H,YSeF,Y,Se,F,393409-2,3.75,3.75,19.11,90.0,90.0,120.0,P 3 m 1,-18.82,-7.09,0.0,-0.97,-0.42,-0.42,56.79,21.92,56.79,21.92,0.0,-2.78,-0.53,-0.53,1.25,2.64,2.64,1.27,1.58,1.58,0.05,3.31,3.31,0.8,-2.35,-2.35,-0.18,-0.96,-0.96,-0.61,YSeSe,YFF,-3.77,-9.81,-9.81,-3.77,-0.31
27,27,H,YSeI,Y,Se,I,393453-2,4.11,4.11,19.11,90.0,90.0,120.0,P 3 m 1,-16.03,-4.78,-0.0,-0.45,-0.25,-0.25,43.31,17.17,43.31,17.17,-0.0,-1.73,-0.41,-0.41,1.73,2.82,2.82,1.41,1.52,1.52,0.02,3.4,3.4,0.54,-2.34,-2.34,-0.29,-1.07,-1.07,-0.25,YSeSe,YII,-3.77,-4.24,-4.24,-3.77,-0.77
28,28,H,YTeBr,Y,Te,Br,395235-2,4.14,4.14,19.11,90.0,90.0,120.0,P 3 m 1,-15.54,-4.47,-0.0,-0.81,-0.3,-0.3,37.67,14.97,37.67,14.97,-0.0,-3.56,-0.57,-0.57,0.91,3.14,3.14,1.41,1.68,1.68,0.02,3.32,3.32,0.56,-2.25,-2.25,-0.2,-1.07,-1.07,-0.36,YTeTe,YBrBr,-2.48,-5.36,-5.36,-2.48,-0.55
29,29,H,YTeCl,Y,Te,Cl,395217-2,4.07,4.07,19.11,90.0,90.0,120.0,P 3 m 1,-16.1,-4.74,-0.0,-1.12,-0.35,-0.35,39.43,16.36,39.43,16.36,-0.0,-4.84,-0.62,-0.62,0.72,3.17,3.17,1.37,1.78,1.77,0.03,3.32,3.32,0.62,-2.27,-2.27,-0.19,-1.05,-1.05,-0.43,YTeTe,YClCl,-2.48,-6.13,-6.13,-2.48,-0.44
30,30,H,YTeF,Y,Te,F,395209-2,3.88,3.88,19.11,90.0,90.0,120.0,P 3 m 1,-17.58,-6.21,0.0,-1.3,-0.46,-0.46,50.91,17.86,50.91,17.86,0.0,-3.93,-0.67,-0.67,0.14,3.73,3.73,1.31,1.99,1.98,0.05,3.26,3.26,0.72,-2.37,-2.37,-0.12,-0.89,-0.89,-0.6,YTeTe,YFF,-2.48,-9.81,-9.81,-2.48,-0.07
31,31,H,YTeI,Y,Te,I,395253-2,4.24,4.24,19.11,90.0,90.0,120.0,P 3 m 1,-14.92,-4.02,-0.0,-0.48,-0.23,-0.23,36.39,13.93,36.39,13.93,-0.0,-2.13,-0.45,-0.45,1.14,3.22,3.22,1.45,1.53,1.53,0.02,3.3,3.3,0.5,-2.24,-2.24,-0.22,-1.06,-1.06,-0.27,YTeTe,YII,-2.48,-4.24,-4.24,-2.48,-0.67
32,32,H,ScAsBr,Sc,As,Br,213335-2,3.54,3.54,19.11,90.0,90.0,120.0,P 3 m 1,-15.1,-2.68,,,,,11.63,56.76,11.63,56.76,,,,,0.0,7.78,7.78,1.44,2.05,2.06,0.01,2.4,2.4,0.37,-0.94,-0.94,-0.1,-1.46,-1.46,-0.26,ScAsAs,ScBrBr,-0.69,-4.94,-4.94,-0.69,0.13
33,33,H,ScAsCl,Sc,As,Cl,213317-2,3.42,3.42,19.11,90.0,90.0,120.0,P 3 m 1,-15.87,-3.16,,,,,-25.11,90.99,-25.11,90.99,,,,,0.0,15.75,15.75,1.41,0.12,0.12,0.02,-2.92,-2.91,0.34,3.64,3.63,-0.04,-0.72,-0.72,-0.3,ScAsAs,ScClCl,-0.69,-5.78,-5.78,-0.69,0.07
34,34,H,ScAsF,Sc,As,F,213309-2,3.17,3.17,19.11,90.0,90.0,120.0,P 3 m 1,-17.96,-5.25,,,,,15.13,45.22,15.13,45.22,,,,,0.0,14.18,14.18,1.33,16.69,16.66,0.03,-0.87,-0.87,0.52,2.7,2.7,0.02,-1.82,-1.82,-0.53,ScAsAs,ScFF,-0.69,-9.71,-9.71,-0.69,-0.05
35,35,H,ScAsI,Sc,As,I,213353-2,3.71,3.71,19.11,90.0,90.0,120.0,P 3 m 1,-14.14,-1.9,,,,,8.05,60.14,8.05,60.14,,,,,0.0,9.29,9.29,1.48,3.34,3.35,0.01,3.16,3.16,0.29,-1.72,-1.72,-0.11,-1.44,-1.44,-0.18,ScAsAs,ScII,-0.69,-3.73,-3.73,-0.69,0.31
36,36,H,ScBiBr,Sc,Bi,Br,218335-2,3.58,3.58,19.11,90.0,90.0,120.0,P 3 m 1,-14.41,-2.79,,,,,52.79,31.02,52.79,31.02,,,,,0.0,17.59,17.59,1.52,14.14,14.08,0.01,-2.15,-2.15,0.24,2.78,2.77,0.01,-0.62,-0.62,-0.25,ScBiBi,ScBrBr,-0.69,-4.94,-4.94,-0.69,0.03
37,37,H,ScBiCl,Sc,Bi,Cl,218317-2,3.51,3.51,19.11,90.0,90.0,120.0,P 3 m 1,-15.17,-3.26,,,,,55.95,35.03,55.95,35.03,,,,,0.0,17.37,17.37,1.48,12.17,12.12,0.01,-1.89,-1.89,0.27,2.74,2.73,0.03,-0.85,-0.84,-0.29,ScBiBi,ScClCl,-0.69,-5.78,-5.78,-0.69,-0.02
38,38,H,ScBiF,Sc,Bi,F,218309-2,3.36,3.36,19.11,90.0,90.0,120.0,P 3 m 1,-17.03,-5.12,,,,,70.66,33.53,70.66,33.53,,,,,0.0,15.93,15.93,1.39,8.47,8.45,0.04,1.09,1.09,0.52,1.71,1.71,0.03,-2.81,-2.8,-0.54,ScBiBi,ScFF,-0.69,-9.71,-9.71,-0.69,0.08
39,39,H,ScBiI,Sc,Bi,I,218353-2,3.75,3.75,19.11,90.0,90.0,120.0,P 3 m 1,-13.48,-2.03,,,,,45.25,25.87,45.25,25.87,,,,,0.0,16.6,16.6,1.56,30.19,30.12,0.01,-3.21,-3.2,0.19,3.43,3.42,-0.01,-0.22,-0.22,-0.19,ScBiBi,ScII,-0.69,-3.73,-3.73,-0.69,0.18
40,40,H,ScNBr,Sc,N,Br,210735-2,3.54,3.54,19.11,90.0,90.0,120.0,P 3 m 1,-18.71,-2.65,,,,,85.85,42.99,85.85,42.99,,,,,0.0,2.45,2.45,1.3,2.41,2.41,0.02,3.84,3.84,0.45,-2.76,-2.76,-0.25,-1.08,-1.08,-0.2,ScNN,ScBrBr,-1.0,-4.94,-4.94,-1.0,0.32
41,41,H,ScNCl,Sc,N,Cl,210717-2,3.47,3.47,19.11,90.0,90.0,120.0,P 3 m 1,-19.36,-3.0,,,,,83.57,42.15,83.57,42.15,,,,,0.08,2.16,2.16,1.27,1.85,1.85,0.02,3.78,3.78,0.5,-2.77,-2.77,-0.24,-1.01,-1.01,-0.26,ScNN,ScClCl,-1.0,-5.78,-5.78,-1.0,0.39
42,42,H,ScNF,Sc,N,F,210709-2,3.3,3.3,19.11,90.0,90.0,120.0,P 3 m 1,-21.01,-4.64,,,,,48.62,75.4,48.62,75.4,,,,,0.0,1.98,1.98,1.19,4.63,4.63,0.04,3.72,3.72,0.71,-2.73,-2.73,-0.22,-0.99,-0.99,-0.49,ScNN,ScFF,-1.0,-9.71,-9.71,-1.0,0.71
43,43,H,ScNI,Sc,N,I,210753-2,3.64,3.64,19.11,90.0,90.0,120.0,P 3 m 1,-17.88,-1.99,,,,,67.9,25.3,67.9,25.3,,,,,0.0,2.6,2.6,1.36,1.18,1.18,0.01,3.51,3.51,0.37,-2.89,-2.89,-0.28,-0.63,-0.63,-0.09,ScNN,ScII,-1.0,-3.73,-3.73,-1.0,0.38
44,44,H,ScPBr,Sc,P,Br,211535-2,3.51,3.51,19.11,90.0,90.0,120.0,P 3 m 1,-15.48,-2.36,,,,,-0.86,75.68,-0.86,75.68,,,,,0.0,8.54,8.54,1.41,2.93,2.94,0.01,3.19,3.2,0.39,-1.72,-1.72,-0.14,-1.47,-1.47,-0.25,ScPP,ScBrBr,0.04,-4.94,-4.94,0.04,0.09
45,45,H,ScPCl,Sc,P,Cl,211517-2,3.41,3.41,19.11,90.0,90.0,120.0,P 3 m 1,-16.26,-2.85,,,,,28.94,47.06,28.94,47.06,,,,,0.0,7.79,7.79,1.38,2.39,2.39,0.02,2.82,2.83,0.44,-1.32,-1.32,-0.13,-1.51,-1.51,-0.31,ScPP,ScClCl,0.04,-5.78,-5.78,0.04,0.02
46,46,H,ScPF,Sc,P,F,211509-2,3.15,3.15,19.11,90.0,90.0,120.0,P 3 m 1,-18.34,-4.92,,,,,0.55,10.06,0.55,10.06,,,,,0.0,13.13,13.13,1.31,76.7,76.26,0.03,-2.04,-2.03,0.56,3.54,3.54,-0.02,-1.51,-1.51,-0.54,ScPP,ScFF,0.04,-9.71,-9.71,0.04,-0.08
47,47,H,ScPI,Sc,P,I,211553-2,4.07,4.07,19.11,90.0,90.0,120.0,P 3 m 1,-14.87,-1.92,,,,,37.09,19.06,37.09,19.06,,,,,0.0,3.07,3.07,1.39,1.17,1.17,0.01,3.34,3.34,0.24,-2.45,-2.45,-0.06,-0.89,-0.89,-0.18,ScPP,ScII,0.04,-3.73,-3.73,0.04,-0.08
48,48,H,ScSbBr,Sc,Sb,Br,215135-2,3.55,3.55,19.11,90.0,90.0,120.0,P 3 m 1,-14.67,-2.79,,,,,34.55,43.43,34.55,43.43,,,,,0.0,15.16,15.16,1.49,26.6,26.55,0.01,-3.06,-3.05,0.25,3.57,3.57,0.0,-0.52,-0.52,-0.25,ScSbSb,ScBrBr,-0.75,-4.94,-4.94,-0.75,0.06
49,49,H,ScSbCl,Sc,Sb,Cl,215117-2,3.47,3.47,19.11,90.0,90.0,120.0,P 3 m 1,-15.45,-3.28,,,,,48.64,36.57,48.64,36.57,,,,,0.0,15.08,15.08,1.46,16.28,16.24,0.01,-2.39,-2.38,0.27,3.14,3.14,0.02,-0.75,-0.75,-0.29,ScSbSb,ScClCl,-0.75,-5.78,-5.78,-0.75,-0.01
50,50,H,ScSbF,Sc,Sb,F,215109-2,3.28,3.28,19.11,90.0,90.0,120.0,P 3 m 1,-17.4,-5.22,,,,,50.29,11.32,50.29,11.32,,,,,0.0,16.59,16.59,1.38,10.12,10.11,0.05,0.67,0.67,0.5,2.07,2.07,0.03,-2.74,-2.74,-0.53,ScSbSb,ScFF,-0.75,-9.71,-9.71,-0.75,0.01
51,51,H,ScSbI,Sc,Sb,I,215153-2,3.74,3.74,19.11,90.0,90.0,120.0,P 3 m 1,-13.69,-1.98,,,,,37.31,26.72,37.31,26.72,,,,,0.0,20.12,20.12,1.54,45.28,45.07,0.01,-4.11,-4.09,0.23,4.14,4.13,-0.04,-0.04,-0.04,-0.19,ScSbSb,ScII,-0.75,-3.73,-3.73,-0.75,0.26
52,52,H,YAsBr,Y,As,Br,393335-2,3.78,3.78,19.11,90.0,90.0,120.0,P 3 m 1,-15.47,-2.88,,,,,1.98,57.44,1.98,57.44,,,,,0.0,8.47,8.47,1.44,2.47,2.47,0.02,3.1,3.1,0.44,-1.6,-1.6,-0.13,-1.5,-1.5,-0.31,YAsAs,YBrBr,-0.3,-5.36,-5.36,-0.3,-0.05
53,53,H,YAsCl,Y,As,Cl,393317-2,3.7,3.7,19.11,90.0,90.0,120.0,P 3 m 1,-16.15,-3.27,,,,,3.33,56.72,3.33,56.72,,,,,0.0,8.26,8.26,1.4,2.18,2.18,0.02,2.89,2.89,0.5,-1.34,-1.35,-0.12,-1.54,-1.54,-0.38,YAsAs,YClCl,-0.3,-6.13,-6.13,-0.3,-0.05
54,54,H,YAsF,Y,As,F,393309-2,3.5,3.5,19.11,90.0,90.0,120.0,P 3 m 1,-18.03,-5.14,,,,,-75.89,135.41,-75.89,135.41,,,,,0.0,9.76,9.76,1.33,0.42,0.42,0.04,-0.27,-0.26,0.62,1.93,1.92,-0.04,-1.66,-1.66,-0.59,YAsAs,YFF,-0.3,-9.81,-9.81,-0.3,-0.09
55,55,H,YAsI,Y,As,I,393353-2,3.92,3.92,19.11,90.0,90.0,120.0,P 3 m 1,-14.65,-2.23,,,,,12.29,55.31,12.29,55.31,,,,,0.0,10.1,10.1,1.48,2.39,2.4,0.01,3.14,3.14,0.35,-1.69,-1.7,-0.13,-1.44,-1.45,-0.23,YAsAs,YII,-0.3,-4.24,-4.24,-0.3,0.04
56,56,H,YBiBr,Y,Bi,Br,398335-2,3.73,3.73,19.11,90.0,90.0,120.0,P 3 m 1,-14.81,-3.01,,,,,33.13,29.62,33.13,29.62,,,,,0.0,22.52,22.52,1.54,3.53,3.52,0.01,-0.36,-0.36,0.28,1.5,1.49,0.0,-1.13,-1.13,-0.28,YBiBi,YBrBr,-0.75,-5.36,-5.36,-0.75,0.05
57,57,H,YBiCl,Y,Bi,Cl,398317-2,3.66,3.66,19.11,90.0,90.0,120.0,P 3 m 1,-15.53,-3.44,,,,,43.29,37.4,43.29,37.4,,,,,0.0,18.49,18.49,1.5,3.95,3.94,0.01,-0.14,-0.14,0.33,1.58,1.57,0.01,-1.43,-1.43,-0.34,YBiBi,YClCl,-0.75,-6.13,-6.13,-0.75,0.0
58,58,H,YBiF,Y,Bi,F,398309-2,3.51,3.51,19.11,90.0,90.0,120.0,P 3 m 1,-17.41,-5.31,,,,,70.99,25.93,70.99,25.93,,,,,0.0,11.87,11.87,1.41,8.55,8.54,0.04,0.67,0.67,0.56,1.73,1.73,0.01,-2.4,-2.4,-0.57,YBiBi,YFF,-0.75,-9.81,-9.81,-0.75,-0.03
59,59,H,YBiI,Y,Bi,I,398353-2,3.91,3.91,19.11,90.0,90.0,120.0,P 3 m 1,-13.95,-2.32,,,,,-11.0,66.21,-11.0,66.21,,,,,0.0,16.54,16.54,1.58,16.56,16.51,0.01,-2.78,-2.77,0.25,3.3,3.29,-0.03,-0.52,-0.52,-0.23,YBiBi,YII,-0.75,-4.24,-4.24,-0.75,0.17
60,60,H,YNBr,Y,N,Br,390735-2,3.78,3.78,19.11,90.0,90.0,120.0,P 3 m 1,-19.15,-2.9,,,,,71.74,37.43,71.74,37.43,,,,,0.06,2.2,2.2,1.3,1.47,1.47,0.03,3.65,3.65,0.55,-2.61,-2.61,-0.3,-1.03,-1.03,-0.25,YNN,YBrBr,-0.78,-5.36,-5.36,-0.78,0.17
61,61,H,YNCl,Y,N,Cl,390717-2,3.73,3.73,19.11,90.0,90.0,120.0,P 3 m 1,-19.75,-3.21,,,,,70.58,37.42,70.58,37.42,,,,,0.08,2.06,2.06,1.27,1.43,1.43,0.03,3.64,3.64,0.63,-2.61,-2.61,-0.31,-1.04,-1.04,-0.32,YNN,YClCl,-0.78,-6.13,-6.13,-0.78,0.25
62,62,H,YNF,Y,N,F,390709-2,3.57,3.57,19.11,90.0,90.0,120.0,P 3 m 1,-21.33,-4.79,,,,,66.68,45.66,66.68,45.66,,,,,0.0,1.94,1.94,1.19,2.49,2.5,0.06,3.64,3.64,0.87,-2.61,-2.61,-0.31,-1.03,-1.03,-0.56,YNN,YFF,-0.78,-9.81,-9.81,-0.78,0.51
63,63,H,YNI,Y,N,I,390753-2,3.87,3.87,19.11,90.0,90.0,120.0,P 3 m 1,-18.41,-2.33,,,,,63.53,38.47,63.53,38.47,,,,,0.0,886.04,886.04,1.36,305.52,304.19,0.02,9.03,9.01,0.44,2.48,2.48,-0.31,-11.51,-11.48,-0.14,YNN,YII,-0.78,-4.24,-4.24,-0.78,0.18
64,64,H,YPBr,Y,P,Br,391535-2,3.85,3.85,19.11,90.0,90.0,120.0,P 3 m 1,-15.89,-2.59,,,,,32.38,17.52,32.38,17.52,,,,,0.0,19.36,19.36,1.39,1.67,1.68,0.01,-0.26,-0.26,0.45,1.45,1.45,-0.15,-1.19,-1.19,-0.29,YPP,YBrBr,0.61,-5.36,-5.36,0.61,-0.22
