,Unnamed: 0,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,angle_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
1020,1020,H,TcGeBr,Tc,Ge,Br,433235-2,3.16,3.16,19.11,90.0,90.0,120.0,P 3 m 1,-15.56,0.78,,,,,72.48,17.44,72.48,17.44,,,,,0.0,30.67,30.67,1.5,1.11,1.11,0.01,-0.54,-0.52,0.18,1.39,1.38,0.02,-0.84,-0.87,-0.2,TcGeGe,TcBrBr,0.7,0.48,0.48,0.7,0.2
1021,1021,H,TcGeCl,Tc,Ge,Cl,433217-2,3.07,3.07,19.11,90.0,90.0,120.0,P 3 m 1,-16.4,0.24,,,,,79.54,18.94,79.54,18.94,,,,,0.0,14.12,14.12,1.46,2.01,2.01,0.01,-0.41,-0.4,0.11,1.74,1.74,0.12,-1.33,-1.34,-0.23,TcGeGe,TcClCl,0.7,-0.01,-0.01,0.7,-0.1
1022,1022,H,TcGeF,Tc,Ge,F,433209-2,2.9,2.9,19.11,90.0,90.0,120.0,P 3 m 1,-17.98,-1.33,,,,,95.98,31.45,95.98,31.45,,,,,0.0,10.66,10.66,1.36,4.71,4.73,0.03,0.22,0.22,0.26,2.17,2.17,0.16,-2.39,-2.4,-0.43,TcGeGe,TcFF,0.7,-2.74,-2.74,0.7,-0.31
1023,1023,H,TcGeI,Tc,Ge,I,433253-2,3.36,3.36,19.11,90.0,90.0,120.0,P 3 m 1,-14.71,1.46,,,,,48.28,1.53,48.28,1.53,,,,,0.0,64.88,64.88,1.55,6.72,6.71,0.06,-6.5,-6.49,0.41,3.17,3.17,-0.25,3.33,3.32,-0.16,TcGeGe,TcII,0.7,1.07,0.7,1.07,0.58
1024,1024,H,TcSiBr,Tc,Si,Br,431435-2,3.27,3.27,19.11,90.0,90.0,120.0,P 3 m 1,-16.22,1.06,,,,,-38.89,100.2,-38.89,100.2,,,,,0.0,102.54,102.54,1.48,538.73,555.98,0.04,-13.77,-13.88,0.54,3.29,3.24,-0.33,10.48,10.64,-0.21,TcSiSi,TcBrBr,0.93,0.48,0.48,0.93,0.36
1025,1025,H,TcSiCl,Tc,Si,Cl,431417-2,3.0,3.0,19.11,90.0,90.0,120.0,P 3 m 1,-17.05,0.51,,,,,87.31,22.65,87.31,22.65,,,,,0.0,27.95,27.95,1.47,2.12,2.12,0.01,-1.16,-1.14,0.22,2.01,2.01,0.03,-0.85,-0.87,-0.25,TcSiSi,TcClCl,0.93,-0.01,-0.01,0.93,0.06
1026,1026,H,TcSiF,Tc,Si,F,431409-2,2.81,2.81,19.11,90.0,90.0,120.0,P 3 m 1,-18.84,-1.27,,,,,105.73,35.28,105.73,35.28,,,,,0.0,15.04,15.04,1.37,6.19,6.21,0.03,-0.23,-0.22,0.3,2.58,2.58,0.15,-2.35,-2.36,-0.45,TcSiSi,TcFF,0.93,-2.74,-2.74,0.93,-0.36
1027,1027,H,TcSiI,Tc,Si,I,431453-2,3.45,3.45,19.11,90.0,90.0,120.0,P 3 m 1,-15.56,1.54,,,,,44.79,28.45,44.79,28.45,,,,,0.0,55.8,55.8,1.48,14.61,14.54,0.0,-6.69,-6.68,0.18,2.28,2.28,-0.1,4.41,4.4,-0.09,TcSiSi,TcII,0.93,1.07,0.93,1.07,0.54
1028,1028,H,TcSnBr,Tc,Sn,Br,435035-2,3.29,3.29,19.11,90.0,90.0,120.0,P 3 m 1,-14.94,0.77,,,,,57.28,16.77,57.28,16.77,,,,,0.0,15.4,15.4,1.52,3.1,3.1,0.01,-1.45,-1.44,0.06,2.27,2.27,0.13,-0.82,-0.83,-0.18,TcSnSn,TcBrBr,1.19,0.48,0.48,1.19,-0.07
1029,1029,H,TcSnCl,Tc,Sn,Cl,435017-2,3.22,3.22,19.11,90.0,90.0,120.0,P 3 m 1,-15.67,0.32,,,,,62.57,19.57,62.57,19.57,,,,,0.0,12.82,12.82,1.47,4.02,4.02,0.01,-1.27,-1.26,0.05,2.46,2.46,0.15,-1.19,-1.2,-0.2,TcSnSn,TcClCl,1.19,-0.01,-0.01,1.19,-0.27
1030,1030,H,TcSnF,Tc,Sn,F,435009-2,3.07,3.07,19.11,90.0,90.0,120.0,P 3 m 1,-16.93,-0.93,,,,,87.95,31.95,87.95,31.95,,,,,0.0,11.11,11.11,1.38,6.45,6.46,0.03,0.09,0.09,0.23,2.67,2.67,0.16,-2.75,-2.76,-0.4,TcSnSn,TcFF,1.19,-2.74,-2.74,1.19,-0.15
1031,1031,H,TcSnI,Tc,Sn,I,435053-2,3.44,3.44,19.11,90.0,90.0,120.0,P 3 m 1,-14.23,1.3,,,,,47.14,16.9,47.14,16.9,,,,,0.0,23.48,23.48,1.57,2.61,2.61,0.0,-2.51,-2.5,0.04,2.15,2.15,0.08,0.35,0.35,-0.12,TcSnSn,TcII,1.19,1.07,1.07,1.19,0.17
1032,1032,H,MnAsO,Mn,As,O,253308-2,2.85,2.85,19.11,90.0,90.0,120.0,P 3 m 1,-20.63,-2.6,,,,,85.21,56.65,85.21,56.65,,,,,0.0,12.54,12.54,1.32,3.3,3.29,0.01,-3.09,-3.09,0.14,2.55,2.55,0.09,0.53,0.54,-0.24,MnAsAs,MnOO,-0.07,-4.74,-4.74,-0.07,-0.19
1033,1033,H,MnAsS,Mn,As,S,253316-2,3.01,3.01,19.11,90.0,90.0,120.0,P 3 m 1,-18.65,-1.0,,,,,94.4,45.75,94.4,45.75,,,,,0.0,10.89,10.89,1.41,3.01,3.01,0.0,-4.82,-4.82,-0.23,2.79,2.79,0.15,2.03,2.03,0.08,MnAsAs,MnSS,-0.07,-1.5,-1.5,-0.07,-0.21
1034,1034,H,MnAsSe,Mn,As,Se,253334-2,3.11,3.11,19.11,90.0,90.0,120.0,P 3 m 1,-17.66,-0.64,,,,,81.38,43.12,81.38,43.12,,,,,0.0,11.43,11.43,1.43,2.99,3.0,0.0,-4.99,-4.99,-0.23,2.78,2.78,0.15,2.2,2.2,0.08,MnAsAs,MnSeSe,-0.07,-1.16,-1.16,-0.07,-0.02
1035,1035,H,MnAsTe,Mn,As,Te,253352-2,3.26,3.26,19.11,90.0,90.0,120.0,P 3 m 1,-16.52,0.14,,,,,67.59,38.82,67.59,38.82,,,,,0.0,13.86,13.86,1.47,3.7,3.71,0.0,-5.53,-5.53,-0.22,2.83,2.83,0.13,2.7,2.7,0.09,MnAsAs,MnTeTe,-0.07,-0.47,-0.47,-0.07,0.41
1036,1036,H,MnBiO,Mn,Bi,O,258308-2,3.12,3.12,19.11,90.0,90.0,120.0,P 3 m 1,-18.88,-1.64,,,,,-267.35,-300.41,-267.35,-300.41,,,,,0.0,34.46,34.46,1.38,2.25,2.23,0.03,2.43,2.42,0.35,2.87,2.87,0.04,-5.3,-5.29,-0.39,MnBiBi,MnOO,1.38,-4.74,-4.74,1.38,0.04
