,Unnamed: 0,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,angle_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
731,731,T,WSbI,W,Sb,I,745153-1,3.47,3.47,19.15,90.0,90.0,120.0,P 3 m 1,-16.84,1.59,,,,,83.44,5.31,83.44,5.31,,,,,0.0,41.97,41.97,1.54,4.89,4.83,0.0,-4.39,-4.34,-0.05,3.77,3.75,0.14,0.62,0.58,-0.09,WSbSb,WII,1.18,1.68,1.18,1.68,0.17
732,732,T,CrOS,Cr,O,S,240816-1,2.92,2.92,19.15,90.0,90.0,120.0,P 3 m 1,-21.55,-3.39,,,,,-124.99,-205.09,-124.99,-205.09,,,,,0.0,48.47,48.47,1.27,63.05,62.97,0.01,-7.59,-7.6,0.3,0.46,0.5,-0.31,7.12,7.11,0.01,CrOO,CrSS,-5.62,-1.59,-5.62,-1.59,0.22
733,733,T,CrOSe,Cr,O,Se,240834-1,3.1,3.1,19.15,90.0,90.0,120.0,P 3 m 1,-21.15,-3.62,,,,,103.44,32.95,103.44,32.95,,,,,0.0,17.33,17.33,1.29,0.95,0.95,0.01,0.73,0.73,0.29,-2.01,-2.01,-0.31,1.28,1.28,0.01,CrOO,CrSeSe,-5.62,-1.03,-5.62,-1.03,-0.3
734,734,T,CrOTe,Cr,O,Te,240852-1,3.21,3.21,19.15,90.0,90.0,120.0,P 3 m 1,-20.15,-2.97,,,,,79.37,77.68,79.37,77.68,,,,,0.0,15.51,15.51,1.33,2.38,2.38,0.02,1.62,1.62,0.32,-3.15,-3.15,-0.33,1.53,1.53,0.01,CrOO,CrTeTe,-5.62,0.04,-5.62,0.04,-0.18
735,735,T,CrSSe,Cr,S,Se,241634-1,3.14,3.14,19.15,90.0,90.0,120.0,P 3 m 1,-18.41,-1.26,,,,,90.15,2.09,90.15,2.09,,,,,0.0,71.39,71.39,1.38,5.2,5.06,0.0,-4.24,-4.19,-0.02,0.57,0.57,-0.01,3.67,3.62,0.03,CrSS,CrSeSe,-1.59,-1.03,-1.59,-1.03,0.05
736,736,T,CrSTe,Cr,S,Te,241652-1,3.34,3.34,19.15,90.0,90.0,120.0,P 3 m 1,-17.48,-0.68,,,,,-674.04,-701.37,-674.04,-701.37,,,,,0.0,13.18,13.18,1.4,0.22,0.22,0.0,-0.45,-0.45,0.04,-0.32,-0.32,-0.09,0.77,0.77,0.04,CrSS,CrTeTe,-1.59,0.04,-1.59,0.04,0.09
737,737,T,CrSeTe,Cr,Se,Te,243452-1,3.37,3.37,19.15,90.0,90.0,120.0,P 3 m 1,-16.63,-0.47,,,,,55.87,-6.46,55.87,-6.46,,,,,0.0,13.63,13.63,1.44,0.02,0.02,0.0,0.08,0.08,0.03,-0.28,-0.28,-0.06,0.19,0.19,0.02,CrSeSe,CrTeTe,-1.03,0.04,-1.03,0.04,0.02
738,738,T,MoOS,Mo,O,S,420816-1,3.06,3.06,19.15,90.0,90.0,120.0,P 3 m 1,-23.19,-3.6,,,,,98.96,5.68,98.96,5.68,,,,,0.0,21.11,21.11,1.28,6.18,6.18,0.01,-4.12,-4.14,0.33,-0.3,-0.26,-0.33,4.41,4.41,-0.01,MoOO,MoSS,-5.7,-1.8,-5.7,-1.8,0.15
739,739,T,MoOSe,Mo,O,Se,420834-1,3.1,3.1,19.15,90.0,90.0,120.0,P 3 m 1,-22.18,-3.23,,,,,70.73,12.41,70.73,12.41,,,,,0.0,86.9,86.9,1.31,31.44,31.38,0.01,-4.45,-4.45,0.33,-3.41,-3.39,-0.35,7.85,7.85,0.02,MoOO,MoSeSe,-5.7,-1.33,-5.7,-1.33,0.29
740,740,T,MoOTe,Mo,O,Te,420852-1,3.22,3.22,19.15,90.0,90.0,120.0,P 3 m 1,-21.02,-2.42,,,,,89.48,10.78,89.48,10.78,,,,,0.0,25.15,25.15,1.35,5.93,5.92,0.02,0.0,-0.01,0.37,-3.42,-3.4,-0.39,3.41,3.41,0.02,MoOO,MoTeTe,-5.7,-0.28,-5.7,-0.28,0.57
