,Unnamed: 0.1,Unnamed: 0,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,angle_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
0,0,0,T',ScOBr,Sc,O,Br,210835-3,6.87,3.43,19,90,90,119.96,P 1,-41.28,-8.38,-0.03,-0.49,0.05,0.05,101.51,34.72,101.63,34.72,-0.04,-0.74,0.04,0.04,2.88,2.21,2.21,1.27,2.64,2.63,0.04,4.28,4.28,0.79,-3.11,-3.11,-0.56,-1.17,-1.17,-0.24,ScOO,ScBrBr,-8.14,-4.91,-8.14,-4.91,-1.85
1,1,1,T',ScOCl,Sc,O,Cl,210817-3,6.75,3.37,19,90,90,119.97,P 1,-43.02,-8.97,0.02,-1.03,-0.43,-0.43,99.69,33.91,99.74,33.91,0.03,-1.57,-0.32,-0.32,4.12,1.97,1.97,1.24,2.49,2.48,0.04,4.28,4.28,0.83,-3.05,-3.05,-0.55,-1.23,-1.23,-0.28,ScOO,ScClCl,-8.14,-5.72,-8.14,-5.72,-2.03
2,2,2,T',ScOF,Sc,O,F,210809-3,6.51,3.25,19,90,90,119.97,P 1,-47.47,-11.18,0.14,-2.45,-1.21,-1.21,102.53,33.07,102.63,33.07,0.2,-3.52,-0.89,-0.89,5.33,1.66,1.66,1.16,2.66,2.65,0.06,4.35,4.35,1.02,-2.92,-2.92,-0.53,-1.43,-1.43,-0.49,ScOO,ScFF,-8.14,-9.58,-9.58,-8.14,-2.32
3,3,3,T',ScOI,Sc,O,I,210853-3,7.09,3.54,19,90,90,119.94,P 1,-38.85,-7.35,-0.17,1.08,0.79,0.79,103.8,34.48,104.17,34.48,-0.25,1.55,0.57,0.57,1.34,2.9,2.9,1.31,3.12,3.09,0.04,4.31,4.31,0.75,-3.22,-3.22,-0.56,-1.08,-1.08,-0.19,ScOO,ScII,-8.14,-3.76,-8.14,-3.76,-1.39
4,4,4,T',ScSBr,Sc,S,Br,211635-3,7.59,3.79,19,90,90,119.99,P 1,-34.81,-5.52,0.07,-1.64,-0.94,-0.93,48.95,12.64,48.97,12.64,0.19,-4.51,-1.52,-1.52,2.95,2.62,2.62,1.32,3.04,3.04,0.02,4.26,4.26,0.53,-2.81,-2.81,-0.28,-1.46,-1.46,-0.25,ScSS,ScBrBr,-3.64,-4.91,-4.91,-3.64,-1.25
5,5,5,T',ScSCl,Sc,S,Cl,211617-3,7.45,3.72,19,90,90,120.0,P 1,-36.14,-5.9,0.08,-1.83,-1.26,-1.26,50.2,12.33,50.2,12.33,0.2,-4.83,-2.02,-2.02,2.97,2.47,2.47,1.29,3.24,3.24,0.02,4.26,4.26,0.59,-2.72,-2.72,-0.27,-1.54,-1.54,-0.31,ScSS,ScClCl,-3.64,-5.72,-5.72,-3.64,-1.22
6,6,6,T',ScSF,Sc,S,F,211609-3,7.02,3.5,19,90,90,119.87,P 1,-39.72,-7.69,0.75,-3.73,-2.04,-2.02,63.51,17.31,64.67,17.31,1.63,-7.87,-2.52,-2.46,2.49,2.33,2.33,1.23,4.62,4.46,0.05,4.25,4.24,0.75,-2.47,-2.47,-0.24,-1.77,-1.78,-0.52,ScSS,ScFF,-3.64,-9.58,-9.58,-3.64,-1.08
7,7,7,T',ScSI,Sc,S,I,211653-3,7.84,3.92,19,90,90,119.99,P 1,-33.2,-4.9,0.05,-1.23,-0.43,-0.43,49.38,13.41,49.4,13.41,0.13,-3.42,-0.69,-0.69,2.28,2.99,2.99,1.36,2.79,2.79,0.02,4.3,4.3,0.48,-2.95,-2.95,-0.3,-1.35,-1.35,-0.19,ScSS,ScII,-3.64,-3.76,-3.76,-3.64,-1.2
8,8,8,T',ScSeBr,Sc,Se,Br,213435-3,7.75,3.87,19,90,90,119.99,P 1,-32.89,-5.2,0.06,-1.58,-1.21,-1.21,44.0,10.7,44.01,10.7,0.19,-4.73,-2.22,-2.22,2.3,2.9,2.9,1.34,3.44,3.44,0.02,4.24,4.24,0.49,-2.67,-2.67,-0.22,-1.57,-1.57,-0.26,ScSeSe,ScBrBr,-3.49,-4.91,-4.91,-3.49,-1.0
9,9,9,T',ScSeCl,Sc,Se,Cl,213417-3,7.6,3.8,19,90,90,119.99,P 1,-34.17,-5.55,0.07,-1.76,-1.54,-1.54,45.9,10.75,45.91,10.75,0.19,-4.99,-2.72,-2.72,2.16,2.79,2.79,1.31,3.75,3.75,0.02,4.26,4.26,0.54,-2.59,-2.59,-0.21,-1.66,-1.66,-0.33,ScSeSe,ScClCl,-3.49,-5.72,-5.72,-3.49,-0.95
10,10,10,T',ScSeF,Sc,Se,F,213409-3,7.14,3.55,19,90,90,119.83,P 1,-37.57,-7.24,1.23,-3.98,-2.42,-2.39,60.64,17.16,62.44,17.16,2.82,-8.79,-3.11,-3.0,1.56,2.85,2.85,1.25,5.83,5.53,0.04,4.29,4.29,0.69,-2.38,-2.37,-0.17,-1.91,-1.92,-0.51,ScSeSe,ScFF,-3.49,-9.58,-9.58,-3.49,-0.71
11,11,11,T',ScSeI,Sc,Se,I,213453-3,8.0,4.0,19,90,90,119.99,P 1,-31.38,-4.62,0.03,-1.12,-0.7,-0.7,43.07,10.94,43.1,10.94,0.1,-3.5,-1.3,-1.3,2.17,3.2,3.2,1.38,3.02,3.01,0.01,4.26,4.26,0.43,-2.81,-2.81,-0.23,-1.44,-1.44,-0.2,ScSeSe,ScII,-3.49,-3.76,-3.76,-3.49,-0.99
12,12,12,T',ScTeBr,Sc,Te,Br,215235-3,8.02,4.01,19,90,90,119.99,P 1,-30.46,-4.35,0.06,-1.31,-1.61,-1.61,37.55,8.43,37.56,8.43,0.19,-4.51,-3.5,-3.5,1.17,3.78,3.78,1.38,4.41,4.41,0.02,4.37,4.37,0.45,-2.56,-2.56,-0.17,-1.81,-1.81,-0.29,ScTeTe,ScBrBr,-2.79,-4.91,-4.91,-2.79,-0.5
13,13,13,T',ScTeCl,Sc,Te,Cl,215217-3,7.87,3.93,19,90,90,119.99,P 1,-31.69,-4.67,0.05,-1.43,-1.92,-1.92,39.97,8.84,39.99,8.84,0.16,-4.58,-3.93,-3.93,0.99,3.89,3.89,1.35,4.89,4.89,0.02,4.44,4.44,0.5,-2.52,-2.52,-0.15,-1.92,-1.92,-0.35,ScTeTe,ScClCl,-2.79,-5.72,-5.72,-2.79,-0.42
14,14,14,T',ScTeF,Sc,Te,F,215209-3,7.34,3.64,19,90,90,119.76,P 1,-34.71,-6.17,2.65,-3.75,-2.9,-2.84,54.88,16.9,57.71,16.9,6.99,-9.19,-4.04,-3.81,0.32,5.37,5.46,1.3,9.06,8.26,0.04,4.71,4.73,0.59,-2.57,-2.57,-0.1,-2.15,-2.16,-0.49,ScTeTe,ScFF,-2.79,-9.58,-9.58,-2.79,0.01
15,15,15,T',ScTeI,Sc,Te,I,215253-3,8.27,4.13,19,90,90,119.99,P 1,-29.08,-3.83,0.04,-1.09,-1.12,-1.12,35.7,8.35,35.73,8.35,0.13,-3.99,-2.54,-2.53,1.39,3.83,3.83,1.42,3.65,3.65,0.01,4.31,4.31,0.39,-2.66,-2.66,-0.18,-1.65,-1.65,-0.21,ScTeTe,ScII,-2.79,-3.76,-3.76,-2.79,-0.55
16,16,16,T',YOBr,Y,O,Br,390835-3,7.33,3.65,19,90,90,119.89,P 1,-42.42,-8.77,-0.03,-0.79,-0.52,-0.51,87.96,32.55,87.98,32.55,-0.05,-1.42,-0.43,-0.43,4.1,1.98,1.98,1.27,1.9,1.89,0.05,4.1,4.1,0.91,-2.95,-2.95,-0.62,-1.15,-1.15,-0.29,YOO,YBrBr,-8.18,-5.22,-8.18,-5.22,-2.07
17,17,17,T',YOCl,Y,O,Cl,390817-3,7.26,3.62,19,90,90,119.91,P 1,-44.0,-9.27,0.0,-0.98,-0.58,-0.57,86.79,31.6,86.71,31.6,0.0,-1.77,-0.49,-0.48,5.29,1.81,1.81,1.23,1.85,1.84,0.05,4.13,4.13,0.96,-2.91,-2.91,-0.62,-1.22,-1.22,-0.34,YOO,YClCl,-8.18,-5.95,-8.18,-5.95,-2.21
18,18,18,T',YOF,Y,O,F,390809-3,7.05,3.51,19,90,90,119.85,P 1,-48.17,-11.35,0.13,-1.79,-0.45,-0.43,94.68,31.25,94.68,31.25,0.21,-2.82,-0.36,-0.34,5.28,1.56,1.56,1.16,1.92,1.89,0.07,4.21,4.2,1.14,-2.78,-2.77,-0.6,-1.43,-1.43,-0.54,YOO,YFF,-8.18,-10.1,-10.1,-8.18,-2.21
19,19,19,T',YOI,Y,O,I,390853-3,7.48,3.73,19,90,90,119.88,P 1,-40.32,-7.89,-0.11,-0.33,-0.36,-0.36,91.92,33.06,92.19,33.06,-0.18,-0.55,-0.29,-0.28,2.45,2.36,2.36,1.32,2.06,2.04,0.05,4.09,4.09,0.87,-3.02,-3.02,-0.62,-1.07,-1.06,-0.24,YOO,YII,-8.18,-4.16,-8.18,-4.16,-1.72
20,20,20,T',YSBr,Y,S,Br,391635-3,8.15,4.08,19,90,90,119.99,P 1,-36.2,-6.04,0.08,-1.61,-0.35,-0.35,41.0,11.1,41.0,11.1,0.26,-5.38,-0.68,-0.68,3.72,2.27,2.27,1.31,2.35,2.35,0.03,4.15,4.15,0.67,-2.71,-2.71,-0.37,-1.43,-1.43,-0.3,YSS,YBrBr,-3.92,-5.22,-5.22,-3.92,-1.47
21,21,21,T',YSCl,Y,S,Cl,391617-3,8.05,4.02,19,90,90,119.99,P 1,-37.48,-6.39,0.09,-1.79,-0.3,-0.3,42.42,10.87,42.43,10.87,0.29,-5.66,-0.56,-0.56,3.78,2.14,2.14,1.28,2.48,2.48,0.03,4.16,4.16,0.73,-2.64,-2.64,-0.36,-1.52,-1.52,-0.37,YSS,YClCl,-3.92,-5.95,-5.95,-3.92,-1.46
22,22,22,T',YSF,Y,S,F,391609-3,7.5,3.72,19,90,90,119.76,P 1,-40.66,-7.97,0.57,-2.47,-0.01,0.02,60.16,16.01,61.19,16.01,1.3,-5.48,-0.01,0.03,3.29,2.05,2.04,1.23,3.11,2.99,0.05,4.12,4.11,0.83,-2.39,-2.38,-0.3,-1.73,-1.73,-0.54,YSS,YFF,-3.92,-10.1,-10.1,-3.92,-0.96
23,23,23,T',YSI,Y,S,I,391653-3,8.33,4.17,19,90,90,119.99,P 1,-34.72,-5.48,0.06,-1.32,-0.38,-0.38,41.3,12.02,41.31,12.02,0.21,-4.51,-0.72,-0.72,3.23,2.53,2.53,1.35,2.17,2.17,0.03,4.14,4.14,0.62,-2.82,-2.82,-0.39,-1.32,-1.32,-0.24,YSS,YII,-3.92,-4.16,-4.16,-3.92,-1.43
24,24,24,T',YSeBr,Y,Se,Br,393435-3,8.3,4.15,19,90,90,120.0,P m,-34.28,-5.71,0.08,-1.6,-0.25,-0.25,36.42,9.08,36.43,9.08,0.28,-5.85,-0.56,-0.55,3.15,2.46,2.46,1.33,2.64,2.64,0.02,4.12,4.12,0.61,-2.58,-2.58,-0.3,-1.53,-1.53,-0.31,YSeSe,YBrBr,-3.8,-5.22,-5.22,-3.8,-1.2
25,25,25,T',YSeCl,Y,Se,Cl,393417-3,8.19,4.09,19,90,90,119.99,P 1,-35.53,-6.05,0.09,-1.79,-0.2,-0.2,38.45,9.16,38.46,9.16,0.3,-6.1,-0.42,-0.42,3.07,2.35,2.35,1.3,2.84,2.84,0.03,4.14,4.14,0.66,-2.51,-2.51,-0.29,-1.63,-1.63,-0.37,YSeSe,YClCl,-3.8,-5.95,-5.95,-3.8,-1.18
26,26,26,T',YSeF,Y,Se,F,393409-3,7.57,3.76,19,90,90,119.74,P 1,-38.51,-7.53,0.71,-2.35,0.01,0.04,59.12,15.74,60.29,15.74,1.65,-5.28,0.01,0.05,2.25,2.39,2.39,1.26,3.8,3.62,0.05,4.15,4.14,0.74,-2.3,-2.29,-0.22,-1.85,-1.86,-0.52,YSeSe,YFF,-3.8,-10.1,-10.1,-3.8,-0.58
27,27,27,T',YSeI,Y,Se,I,393453-3,8.49,4.25,19,90,90,119.99,P 1,-32.87,-5.18,0.06,-1.32,-0.29,-0.29,35.47,9.39,35.48,9.39,0.24,-5.05,-0.64,-0.64,3.0,2.69,2.69,1.37,2.37,2.37,0.02,4.11,4.1,0.55,-2.7,-2.7,-0.31,-1.41,-1.41,-0.24,YSeSe,YII,-3.8,-4.16,-4.16,-3.8,-1.2
28,28,28,T',YTeBr,Y,Te,Br,395235-3,8.56,4.28,19,90,90,119.99,P 1,-31.86,-4.86,0.07,-1.47,-0.15,-0.15,31.34,7.01,31.35,7.01,0.29,-6.03,-0.39,-0.39,1.92,2.96,2.96,1.37,3.31,3.31,0.02,4.19,4.19,0.55,-2.46,-2.46,-0.23,-1.73,-1.73,-0.32,YTeTe,YBrBr,-3.25,-5.22,-5.22,-3.25,-0.62
29,29,29,T',YTeCl,Y,Te,Cl,395217-3,8.43,4.21,19,90,90,119.97,P 1,-33.06,-5.17,0.1,-1.65,-0.11,-0.11,34.04,7.42,34.06,7.42,0.36,-6.19,-0.27,-0.26,1.78,2.92,2.92,1.34,3.63,3.62,0.03,4.23,4.23,0.6,-2.4,-2.4,-0.21,-1.83,-1.83,-0.39,YTeTe,YClCl,-3.25,-5.95,-5.95,-3.25,-0.57
30,30,30,T',YTeF,Y,Te,F,395209-3,7.71,3.82,19,90,90,119.71,P 1,-35.63,-6.45,1.09,-1.5,-0.03,0.0,57.25,14.88,58.62,14.88,2.56,-3.43,-0.04,0.0,0.73,3.87,3.92,1.32,5.68,5.43,0.04,4.51,4.53,0.6,-2.42,-2.43,-0.13,-2.1,-2.1,-0.47,YTeTe,YFF,-3.25,-10.1,-10.1,-3.25,0.22
31,31,31,T',YTeI,Y,Te,I,395253-3,8.76,4.38,19,90,90,119.99,P 1,-30.53,-4.37,0.06,-1.19,-0.18,-0.18,29.25,6.95,29.27,6.95,0.25,-5.33,-0.49,-0.49,2.06,3.11,3.11,1.42,2.83,2.83,0.02,4.14,4.14,0.49,-2.56,-2.56,-0.24,-1.58,-1.58,-0.25,YTeTe,YII,-3.25,-4.16,-4.16,-3.25,-0.66
32,32,32,T',ScAsBr,Sc,As,Br,213335-3,7.0,3.52,19,90,90,112.65,P 1,-30.82,-2.99,,,,,50.15,13.47,50.5,13.47,,,,,0.0,5.9,4.94,1.42,1.53,1.95,0.01,1.95,2.37,0.36,-0.06,-0.55,-0.11,-1.9,-1.82,-0.25,ScAsAs,ScBrBr,-1.49,-4.91,-4.91,-1.49,0.21
33,33,33,T',ScAsCl,Sc,As,Cl,213317-3,6.84,3.42,19,90,90,112.61,P 1,-32.36,-3.47,,,,,51.35,13.76,50.83,13.76,,,,,0.0,5.82,4.81,1.38,1.58,1.98,0.02,1.61,2.16,0.41,0.37,-0.23,-0.1,-1.98,-1.93,-0.31,ScAsAs,ScClCl,-1.49,-5.72,-5.72,-1.49,0.13
34,34,34,T',ScAsF,Sc,As,F,213309-3,6.52,3.41,19,90,90,121.68,P 1,-36.7,-5.64,,,,,51.26,23.01,66.91,23.01,,,,,0.0,12.14,12.2,1.31,3.12,4.73,0.04,2.32,1.45,0.49,0.03,1.22,-0.02,-2.35,-2.67,-0.47,ScAsAs,ScFF,-1.49,-9.58,-9.58,-1.49,-0.1
35,35,35,T',ScAsI,Sc,As,I,213353-3,7.37,3.69,19,90,90,114.25,P 1,-28.95,-2.23,,,,,43.69,15.89,42.1,15.89,,,,,0.0,7.47,5.56,1.45,1.21,1.59,0.01,2.26,2.66,0.24,-0.65,-1.06,-0.09,-1.61,-1.6,-0.16,ScAsAs,ScII,-1.49,-3.76,-3.76,-1.49,0.4
36,36,36,T',ScBiBr,Sc,Bi,Br,218335-3,7.32,3.67,19,90,90,120.06,P 1,-29.17,-2.96,,,,,45.43,17.64,45.18,17.64,,,,,0.0,15.03,14.83,1.5,11.96,12.19,0.01,-2.89,-2.91,0.23,3.59,3.67,0.01,-0.7,-0.76,-0.24,ScBiBi,ScBrBr,-0.77,-4.91,-4.91,-0.77,-0.12
37,37,37,T',ScBiCl,Sc,Bi,Cl,218317-3,7.17,3.59,19,90,90,120.06,P 1,-30.67,-3.42,,,,,47.31,18.46,47.74,18.46,,,,,0.0,14.72,14.97,1.46,10.51,11.62,0.01,-2.38,-2.47,0.26,3.41,3.55,0.03,-1.03,-1.08,-0.28,ScBiBi,ScClCl,-0.77,-5.72,-5.72,-0.77,-0.18
38,38,38,T',ScBiF,Sc,Bi,F,218309-3,6.89,3.43,19,90,90,119.88,P 1,-34.35,-5.25,,,,,58.03,24.44,58.82,24.44,,,,,0.0,19.19,18.82,1.37,14.7,15.18,0.04,-1.12,-0.95,0.48,3.91,3.8,0.03,-2.78,-2.85,-0.51,ScBiBi,ScFF,-0.77,-9.58,-9.58,-0.77,-0.08
39,39,39,T',ScBiI,Sc,Bi,I,218353-3,7.65,3.82,19,90,90,120.15,P 1,-27.33,-2.22,,,,,38.56,15.45,40.25,15.45,,,,,0.0,16.98,16.72,1.54,19.05,15.23,0.01,-3.72,-3.69,0.2,4.06,4.03,-0.01,-0.33,-0.33,-0.18,ScBiBi,ScII,-0.77,-3.76,-3.76,-0.77,0.05
40,40,40,T',ScNBr,Sc,N,Br,210735-3,7.13,3.55,19,90,90,119.89,P 1,-37.68,-2.77,,,,,57.94,32.04,57.92,32.04,,,,,0.0,53.24,102.59,1.3,6.68,9.11,0.02,5.07,5.28,0.43,-2.48,-2.09,-0.31,-2.59,-3.19,-0.12,ScNN,ScBrBr,1.98,-4.91,-4.91,1.98,-1.3
41,41,41,T',ScNCl,Sc,N,Cl,210717-3,7.03,3.51,19,90,90,119.93,P 1,-39.12,-3.2,0.09,-2.54,-0.81,-0.81,76.59,36.09,76.52,36.09,0.22,-6.29,-0.72,-0.72,0.49,2.98,2.99,1.25,2.8,2.79,0.03,4.35,4.35,0.62,-2.88,-2.88,-0.37,-1.47,-1.48,-0.25,ScNN,ScClCl,1.98,-5.72,-5.72,1.98,-1.33
42,42,42,T',ScNF,Sc,N,F,210709-3,6.74,3.36,19,90,90,119.89,P 1,-42.94,-5.1,,,,,77.25,33.94,77.59,33.94,,,,,0.08,2.94,2.99,1.17,3.44,3.39,0.06,4.44,4.44,0.91,-3.12,-3.12,-0.42,-1.32,-1.32,-0.49,ScNN,ScFF,1.98,-9.58,-9.58,1.98,-1.3
43,43,43,T',ScNI,Sc,N,I,210753-3,7.09,3.53,19,90,90,119.88,P 1,-36.17,-2.19,,,,,27.33,32.26,77.08,32.26,,,,,0.0,13.75,13.26,1.37,1.76,1.65,0.03,3.74,3.73,0.45,-3.63,-3.54,-0.38,-0.11,-0.19,-0.07,ScNN,ScII,1.98,-3.76,-3.76,1.98,-1.3
44,44,44,T',ScPBr,Sc,P,Br,211535-3,6.94,3.48,19,90,90,112.31,P 1,-31.69,-2.72,,,,,50.11,12.38,50.83,12.38,,,,,0.0,6.88,6.79,1.39,1.44,1.75,0.01,2.1,2.34,0.36,-0.25,-0.6,-0.13,-1.85,-1.73,-0.23,ScPP,ScBrBr,-1.88,-4.91,-4.91,-1.88,0.67
45,45,45,T',ScPCl,Sc,P,Cl,211517-3,8.4,3.94,19,90,90,134.42,P 1,-34.51,-3.85,0.22,1.76,-0.86,-0.9,47.86,13.57,41.24,13.57,0.63,6.37,-1.41,-1.65,0.4,5.42,4.84,1.33,4.12,3.54,0.02,4.03,3.9,0.46,-2.73,-2.72,-0.13,-1.3,-1.18,-0.32,ScPP,ScClCl,-1.88,-5.72,-5.72,-1.88,-0.05
46,46,46,T',ScPF,Sc,P,F,211509-3,6.34,3.26,19,90,90,120.94,P 1,-38.23,-5.7,,,,,63.5,18.82,78.05,18.82,,,,,0.0,9.12,9.65,1.3,5.23,7.7,0.04,2.94,1.03,0.49,-0.78,1.2,-0.04,-2.17,-2.22,-0.45,ScPP,ScFF,-1.88,-9.58,-9.58,-1.88,0.03
47,47,47,T',ScPI,Sc,P,I,211553-3,7.84,3.99,19,90,90,113.17,P 1,-30.49,-2.3,-4.61,-0.93,-0.57,-0.68,20.73,13.04,44.3,13.04,-59.89,-2.99,-1.7,-1.19,1.17,3.39,3.53,1.37,2.09,2.4,0.02,3.47,4.18,0.35,-2.37,-2.98,-0.17,-1.1,-1.2,-0.18,ScPP,ScII,-1.88,-3.76,-3.76,-1.88,0.52
48,48,48,T',ScSbBr,Sc,Sb,Br,215135-3,7.28,3.65,19,90,90,120.25,P 1,-29.71,-2.97,,,,,36.99,16.78,36.55,16.78,,,,,0.0,15.37,14.73,1.48,14.47,11.73,0.01,-3.22,-3.0,0.27,3.96,3.8,-0.03,-0.75,-0.8,-0.25,ScSbSb,ScBrBr,-0.97,-4.91,-4.91,-0.97,-0.03
49,49,49,T',ScSbCl,Sc,Sb,Cl,215117-3,7.08,3.53,19,90,90,120.03,P 1,-31.25,-3.45,,,,,44.4,18.91,44.98,18.91,,,,,0.0,14.85,14.12,1.44,13.53,12.61,0.01,-2.94,-2.75,0.28,3.88,3.75,0.0,-0.94,-1.0,-0.28,ScSbSb,ScClCl,-0.97,-5.72,-5.72,-0.97,-0.11
50,50,50,T',ScSbF,Sc,Sb,F,215109-3,6.75,3.38,19,90,90,119.92,P 1,-35.17,-5.4,,,,,55.01,23.0,54.93,23.0,,,,,0.0,16.41,15.87,1.36,15.76,13.74,0.04,-1.39,-1.12,0.49,3.93,3.72,0.02,-2.55,-2.6,-0.51,ScSbSb,ScFF,-0.97,-9.58,-9.58,-0.97,-0.13
51,51,51,T',ScSbI,Sc,Sb,I,215153-3,7.66,3.81,19,90,90,119.56,P 1,-27.86,-2.22,,,,,17.66,33.12,16.5,33.12,,,,,0.0,7.0,7.24,1.51,0.97,0.93,0.01,0.75,0.94,0.26,0.73,0.58,-0.08,-1.48,-1.52,-0.19,ScSbSb,ScII,-0.97,-3.76,-3.76,-0.97,0.14
52,52,52,T',YAsBr,Y,As,Br,393335-3,7.42,3.72,19,90,90,110.16,P 1,-31.55,-3.18,,,,,34.92,12.71,37.13,12.71,,,,,0.0,6.34,6.46,1.41,2.72,2.54,0.02,2.15,2.35,0.43,-0.16,-0.42,-0.13,-1.98,-1.93,-0.3,YAsAs,YBrBr,-2.06,-5.22,-5.22,-2.06,0.46
53,53,53,T',YAsCl,Y,As,Cl,393317-3,7.31,3.66,19,90,90,110.88,P 1,-32.94,-3.58,,,,,30.29,17.11,34.54,17.11,,,,,0.0,5.97,6.16,1.38,1.74,2.4,0.02,2.01,2.31,0.49,0.05,-0.27,-0.13,-2.07,-2.03,-0.36,YAsAs,YClCl,-2.06,-5.95,-5.95,-2.06,0.42
54,54,54,T',YAsF,Y,As,F,393309-3,7.14,3.73,19,90,90,123.64,P 1,-37.16,-5.69,-9.8,5.72,0.01,0.11,33.72,18.24,64.53,18.24,-63.27,12.35,0.01,0.13,0.6,6.51,5.62,1.33,3.51,3.31,0.04,3.56,3.49,0.47,-1.6,-1.66,-0.06,-1.96,-1.83,-0.42,YAsAs,YFF,-2.06,-10.1,-10.1,-2.06,0.39
55,55,55,T',YAsI,Y,As,I,393353-3,7.73,3.87,19,90,90,112.34,P 1,-29.9,-2.53,,,,,30.89,15.73,30.5,15.73,,,,,0.0,9.25,10.04,1.46,1.25,1.5,0.01,2.0,2.11,0.31,-0.29,-0.42,-0.11,-1.72,-1.69,-0.21,YAsAs,YII,-2.06,-4.16,-4.16,-2.06,0.58
56,56,56,T',YBiBr,Y,Bi,Br,398335-3,7.67,3.85,19,90,90,120.11,P 1,-29.87,-3.13,,,,,32.94,14.0,32.34,14.0,,,,,0.0,14.32,13.68,1.51,16.86,15.73,0.01,-3.21,-3.14,0.28,4.06,4.07,-0.0,-0.85,-0.93,-0.28,YBiBi,YBrBr,-0.53,-5.22,-5.22,-0.53,-0.25
57,57,57,T',YBiCl,Y,Bi,Cl,398317-3,7.55,3.79,19,90,90,120.09,P 1,-31.28,-3.55,,,,,35.91,14.3,34.84,14.3,,,,,0.0,13.25,12.97,1.47,13.44,13.39,0.01,-2.6,-2.6,0.32,3.79,3.85,0.01,-1.18,-1.25,-0.33,YBiBi,YClCl,-0.53,-5.95,-5.95,-0.53,-0.31
58,58,58,T',YBiF,Y,Bi,F,398309-3,7.2,3.58,19,90,90,119.62,P 1,-34.88,-5.34,,,,,47.45,18.28,47.93,18.28,,,,,0.0,17.53,18.41,1.4,19.0,16.34,0.04,-1.22,-1.0,0.51,4.0,3.98,0.01,-2.78,-2.98,-0.52,YBiBi,YFF,-0.53,-10.1,-10.1,-0.53,-0.02
59,59,59,T',YBiI,Y,Bi,I,398353-3,8.11,4.0,19,90,90,120.57,P 1,-28.2,-2.47,,,,,-4.05,0.45,6.22,0.45,,,,,0.0,8.54,12.87,1.55,2.87,8.33,0.01,-0.89,-2.38,0.26,2.1,3.24,-0.04,-1.21,-0.86,-0.22,YBiBi,YII,-0.53,-4.16,-4.16,-0.53,-0.13
60,60,60,T',YNBr,Y,N,Br,390735-3,7.59,3.78,19,90,90,119.83,P 1,-38.4,-2.95,-0.02,-2.91,-0.57,-0.56,66.39,32.76,66.03,32.76,-0.05,-8.76,-0.57,-0.57,0.3,3.7,3.73,1.29,2.49,2.5,0.03,4.32,4.33,0.65,-2.79,-2.79,-0.41,-1.53,-1.54,-0.23,YNN,YBrBr,1.97,-5.22,-5.22,1.97,-1.33
61,61,61,T',YNCl,Y,N,Cl,390717-3,7.51,3.74,19,90,90,119.85,P 1,-39.78,-3.35,0.05,-3.17,-0.59,-0.58,66.36,30.69,66.09,30.69,0.15,-8.95,-0.61,-0.6,0.27,3.05,3.05,1.25,2.36,2.36,0.04,4.33,4.33,0.78,-2.86,-2.86,-0.47,-1.47,-1.47,-0.31,YNN,YClCl,1.97,-5.95,-5.95,1.97,-1.36
62,62,62,T',YNF,Y,N,F,390709-3,7.23,3.56,19,90,90,119.53,P 1,-43.43,-5.17,,,,,72.14,26.97,62.09,26.97,,,,,0.07,8.82,7.8,1.18,3.68,3.98,0.07,4.69,4.56,1.04,-3.19,-3.0,-0.49,-1.5,-1.56,-0.54,YNN,YFF,1.97,-10.1,-10.1,1.97,-1.1
63,63,63,T',YNI,Y,N,I,390753-3,7.59,3.78,19,90,90,119.79,P 1,-36.8,-2.33,,,,,51.27,23.28,53.85,23.28,,,,,0.0,18.06,18.26,1.37,1.36,1.27,0.02,3.68,3.59,0.36,-3.25,-3.24,-0.33,-0.43,-0.35,-0.04,YNN,YII,1.97,-4.16,-4.16,1.97,-1.23
64,64,64,T',YPBr,Y,P,Br,391535-3,8.83,3.94,19,90,90,131.5,P 1,-34.26,-3.83,-6.61,6.69,-0.37,-0.35,49.51,26.16,45.28,26.16,-28.28,34.96,-0.49,-0.49,0.12,17.21,21.42,1.39,2.46,3.92,0.04,3.18,4.15,0.59,-2.33,-2.71,-0.27,-0.85,-1.44,-0.32,YPP,YBrBr,-2.16,-5.22,-5.22,-2.16,-0.14
65,65,65,T',YPCl,Y,P,Cl,391517-3,8.74,3.89,19,90,90,131.21,P 1,-35.62,-4.22,-5.95,7.37,-0.43,-0.38,49.79,25.09,46.0,25.09,-24.1,35.24,-0.57,-0.54,0.11,15.76,19.56,1.35,2.03,3.58,0.05,2.97,4.1,0.65,-2.09,-2.51,-0.27,-0.89,-1.59,-0.38,YPP,YClCl,-2.16,-5.95,-5.95,-2.16,-0.17
