,Unnamed: 0.1,Unnamed: 0,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,angle_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
1718,1718,1718,T',PtCBr,Pt,C,Br,780635-3,6.51,3.22,19,90,90,119.35,P 1,-28.81,2.42,,,,,79.63,57.97,74.25,57.97,,,,,0.0,23.1,22.41,1.44,21.01,45.4,0.04,-2.47,-3.36,0.06,3.89,4.4,0.03,-1.42,-1.04,-0.09,PtCC,PtBrBr,4.72,-0.81,-0.81,4.72,0.47
1719,1719,1719,T',PtCCl,Pt,C,Cl,780617-3,6.4,3.37,19,90,90,118.23,P 1,-29.85,2.19,,,,,122.8,36.22,100.22,36.22,,,,,0.0,6.47,6.53,1.29,12.7,2.56,0.01,-1.01,-2.99,0.18,3.84,4.05,0.03,-2.84,-1.06,-0.21,PtCC,PtClCl,4.72,-0.11,-0.11,4.72,-0.11
1720,1720,1720,T',PtCF,Pt,C,F,780609-3,6.31,3.15,19,90,90,119.95,P 1,-32.75,0.75,0.04,-0.72,-1.82,-1.82,101.27,28.05,101.08,28.05,0.05,-0.98,-1.41,-1.41,0.23,4.7,4.71,1.21,2.93,2.91,0.02,0.17,0.14,0.35,2.18,2.19,-0.0,-2.35,-2.33,-0.35,PtCC,PtFF,4.72,-2.39,-2.39,4.72,-0.41
1721,1721,1721,T',PtCI,Pt,C,I,780653-3,6.6,3.18,19,90,90,120.68,P 1,-28.92,2.19,,,,,41.04,14.04,-129.76,14.04,,,,,0.0,31.12,53.75,1.93,19.88,56.96,0.05,-3.74,-5.43,-0.03,3.49,4.13,0.01,0.25,1.3,0.03,PtCC,PtII,4.72,-0.7,-0.7,4.72,0.18
1722,1722,1722,T',PtGeBr,Pt,Ge,Br,783235-3,7.68,3.73,19,90,90,119.01,P 1,-25.35,-0.58,4.36,9.17,-1.08,-1.07,25.88,17.22,30.34,17.22,50.3,69.9,-2.51,-2.24,0.17,6.69,6.53,1.37,7.79,11.86,0.02,-0.46,-0.75,0.07,3.1,3.34,0.16,-2.64,-2.59,-0.22,PtGeGe,PtBrBr,-0.04,-0.81,-0.81,-0.04,-0.15
1723,1723,1723,T',PtGeCl,Pt,Ge,Cl,783217-3,7.53,3.64,19,90,90,118.95,P 1,-26.15,-0.69,10.54,21.28,-1.29,-1.29,16.58,24.27,22.89,24.27,-137.18,-1545.95,-3.17,-2.74,0.46,5.18,5.14,1.35,10.8,20.42,0.02,-0.61,-0.86,0.07,3.11,3.27,0.19,-2.5,-2.42,-0.25,PtGeGe,PtClCl,-0.04,-0.11,-0.11,-0.04,-0.61
1724,1724,1724,T',PtGeF,Pt,Ge,F,783209-3,6.98,3.46,19,90,90,126.25,P 1,-27.94,-1.57,4.62,-11.01,-2.91,-3.2,31.4,14.84,38.68,14.84,27.9,-46.18,-6.29,-5.98,0.98,5.08,5.82,1.32,5.87,11.36,0.02,-0.37,-0.08,0.24,2.42,2.52,0.14,-2.05,-2.44,-0.37,PtGeGe,PtFF,-0.04,-2.39,-2.39,-0.04,-0.36
1725,1725,1725,T',PtGeI,Pt,Ge,I,783253-3,7.96,3.92,19,90,90,119.4,P 1,-24.59,-0.37,,,,,29.29,5.75,2.73,5.75,,,,,0.0,9.2,8.02,1.38,7.55,8.79,0.01,-0.54,-0.71,0.08,3.43,3.66,0.1,-2.89,-2.95,-0.18,PtGeGe,PtII,-0.04,-0.7,-0.7,-0.04,-0.0
1726,1726,1726,T',PtSiBr,Pt,Si,Br,781435-3,7.46,3.64,19,90,90,119.18,P 1,-27.14,-0.54,5.63,10.28,-1.08,-1.08,32.24,20.62,36.39,20.62,48.45,65.21,-2.05,-1.9,0.13,6.98,6.98,1.38,7.91,12.3,0.02,-0.77,-0.87,0.14,3.22,3.28,0.1,-2.44,-2.41,-0.24,PtSiSi,PtBrBr,0.21,-0.81,-0.81,0.21,-0.24
1727,1727,1727,T',PtSiCl,Pt,Si,Cl,781417-3,7.32,3.55,19,90,90,118.98,P 1,-28.02,-0.69,29.16,53.05,-1.29,-1.3,2.95,54.62,2.5,54.62,-56.44,-101.8,-2.23,-2.27,0.4,5.26,5.32,1.35,15.83,37.65,0.02,-0.9,-0.99,0.13,3.19,3.2,0.15,-2.29,-2.22,-0.27,PtSiSi,PtClCl,0.21,-0.11,-0.11,0.21,-0.74
1728,1728,1728,T',PtSiF,Pt,Si,F,781409-3,6.74,3.24,19,90,90,119.11,P 1,-32.12,-2.73,,,,,17.09,2.86,-5.53,2.86,,,,,0.0,8.12,7.25,1.35,1.52,1.52,0.02,-2.44,-2.73,0.3,3.01,3.13,0.22,-0.58,-0.41,-0.52,PtSiSi,PtFF,0.21,-2.39,-2.39,0.21,-1.64
